City,Route No.,Number of Lanes,Site ID,Site Type,2016 AADT,2017 AADT,2018 AADT,2016 AADTT,2017 AADTT,2018 AADTT,Latitude,Longitude,Distance (Miles)
Lake Station,I-80,6,954420,WIM,52032,49106,49106,13897,14694,13930,41.575187,-87.275958,
La Porte,SR-2,4,954500,WIM,9592,10113,8898,1146,1589,1384,41.653927,-86.63365,3
Plymouth,US-31,4,954600,WIM,16151,17046,,4597,4911,,41.227841,-86.261019,7
Valparaiso,SR-49,4,954700,WIM,26057,26387,33260,8767,6451,6351,41.530498,-87.032536,1.8
Munster,I-80,5,954810,WIM,100854,101911,104263,26240,16508,14028,41.577053,-87.524912,
Munster,I-80,5,954820,WIM,73151,57658,79237,18871,9392,3432,41.576909,-87.524912,
Chesterton,US-20,4,954900,WIM,14033,14625,13654,1654,1726,1709,41.636859,-87.039928,
Seymour,I-65,4,950507,WIM,36529,39346,38983,11051,11670,11314,38.871638,-85.810027,7
Versailles,US-50,4,955200,WIM,3843,3828,3192,843,868,702,39.07473,-85.285817,1
West Harrison,I-74,4,955300,WIM,37147,36868,35579,7744,7599,7521,39.279844,-84.844745,2
New Albany,I-64,4,955400,WIM,27320,32857,32720,3434,7018,6955,38.282693,-85.92246,4
Sellersburg,I-65,6,955600,WIM,56892,52350,58434,13932,12636,13396,38.38179,-85.758973,
Washington,US-50,4,956000,WIM,9082,10454,9046,4114,4690,2055,38.655268,-87.112361,
Warrenton,I-64,4,956100,WIM,16134,,16426,6526,,5727,38.169426,-87.489835,7
Dale,I-64,4,956200,WIM,6537,8013,7652,2069,2492,2562,38.196409,-87.015454,2
Mount Vernon,SR-62,4,956300,WIM,14693,15563,8990,1941,2100,2305,37.93892,-87.868754,10.5
Evansville,SR-66,4,956400,WIM,9319,9697,9273,587,682,695,38.028472,-87.653088,4
Evansville,I-164,4,956500,WIM,25984,24682,25823,9795,4965,2577,37.938928,-87.502444,
Hatfield,SR-66,6,956600,WIM,9375,10305,10253,1162,1063,872,37.900159,-87.222695,
Gary,US-20,4,959999,WIM,9558,14174,23541,1241,1854,2853,41.595392,-87.244977,
Logansport,SR 25,4,952500,WIM,59851,53758,60341,6658,4393,,40.7278,-86.40501,1
Kokomo,US 31,4,952600,WIM,53758,53835,,7300,6021,,40.4105,-86.1006,2.5
